Supplier,Part Number,Qty,Description
Digi-Key,CL21A106KOQNNWE,12,10uF 16V
Digi-Key,UVR1H102MHD1TO,3,1000uF 50V
Digi-Key,885012207051,6,1uF 16V
Digi-Key,865080142007,3,100uF 6.3V
Digi-Key,CL21B154KOANNNC,3,150nF 16V
Digi-Key,885012207045,15,100nF 16V
Digi-Key,L21A225KOFNNNE,3,2.2uF 16V
Digi-Key,CL21B684KOFNNNG,3,680nF 16V
Digi-Key,"C0805C125K4PAC7800	",3,1.2uF 16V
Digi-Key,885012207040,3,15nF 16V
Digi-Key,865080640001,6,1uF 50V
Digi-Key,C4AQJLU5100M19J,3,10u 700V
Digi-Key,CL21B474KBFNNNG,6,0.47uF 50V
Digi-Key,UG1B-E3/54,6,Vishay Diode 100V 1A
Digi-Key,HCTI-150-5.0,6,150uF
Digi-Key,"PHP23NQ11T,127",12,PHP23NQ11T
Digi-Key,RC0805JR-0710KL,27,10k
Digi-Key,RC0805JR-074K3L,3,4.3k
Digi-Key,RC0805JR-075K6L,3,5.6k
Digi-Key,CRCW08051K50FKEAC,3,1.5k
Digi-Key,ERA-6AED242V,3,2.4k
Digi-Key,RC0805JR-078K2L,3,8.2k
Digi-Key,RC0805JR-0715KL,3,15k
Digi-Key,RC0805JR-0710KL,3,1k
Digi-Key,ERJ-6ENF10R0V,12,10 ohms
Digi-Key,CT6EP203,3,20k
Digi-Key,CT6EP502,3,5k
Digi-Key,CT6EP102,3,1k
Digi-Key,NCP1117DT12G,3,IC REG LINEAR 12V 1A DPAK
Digi-Key,MCP1799T-5002H/TT,3,IC REG LINEAR 5V 80MA SOT23-3
Digi-Key,LM324DR,3,IC OPAMP GP 4 CIRCUIT 14SOIC
Digi-Key,TL972IDR,3,IC OPAMP GP 2 CIRCUIT 8SOIC
Digi-Key,LMV393S-13,3,IC COMPARATOR TINY LV 8-SO
Digi-Key,IR21834SPBFDKR-ND,6,IC GATE DRVR HALF-BRIDGE 14SOIC
